"ProductID","Product","Category","Segment","ManufacturerID","Manufacturer"
"1","Abbas MA-01","Mix","All Season",1,"Abbas"
"2","Abbas MA-02","Mix","All Season",1,"Abbas"
"3","Abbas MA-03","Mix","All Season",1,"Abbas"
"4","Abbas MA-04","Mix","All Season",1,"Abbas"
"5","Abbas MA-05","Mix","All Season",1,"Abbas"
"6","Abbas MA-06","Mix","All Season",1,"Abbas"
"7","Abbas MA-07","Mix","All Season",1,"Abbas"
"8","Abbas MA-08","Mix","All Season",1,"Abbas"
"9","Abbas MA-09","Mix","All Season",1,"Abbas"
"10","Abbas MA-10","Mix","All Season",1,"Abbas"
"11","Abbas MA-11","Mix","All Season",1,"Abbas"
"12","Abbas MA-12","Mix","All Season",1,"Abbas"
"13","Abbas MA-13","Mix","All Season",1,"Abbas"
"14","Abbas MA-14","Mix","All Season",1,"Abbas"
"15","Abbas MA-15","Mix","All Season",1,"Abbas"
"16","Abbas MA-16","Mix","All Season",1,"Abbas"
"17","Abbas MA-17","Mix","All Season",1,"Abbas"
"18","Abbas MA-18","Mix","All Season",1,"Abbas"
"19","Abbas MA-19","Mix","All Season",1,"Abbas"
"20","Abbas MA-20","Mix","All Season",1,"Abbas"
"21","Abbas MA-21","Mix","All Season",1,"Abbas"
"22","Abbas MA-22","Mix","All Season",1,"Abbas"
"23","Abbas MA-23","Mix","All Season",1,"Abbas"
"24","Abbas MA-24","Mix","All Season",1,"Abbas"
"25","Abbas MA-25","Mix","All Season",1,"Abbas"
"26","Abbas MA-26","Mix","All Season",1,"Abbas"
"27","Abbas MA-27","Mix","All Season",1,"Abbas"
"28","Abbas MA-28","Mix","All Season",1,"Abbas"
"29","Abbas MA-29","Mix","All Season",1,"Abbas"
"30","Abbas MA-30","Mix","All Season",1,"Abbas"
"31","Abbas MA-31","Mix","All Season",1,"Abbas"
"32","Abbas MA-32","Mix","All Season",1,"Abbas"
"33","Abbas MA-33","Mix","All Season",1,"Abbas"
"34","Abbas MA-34","Mix","All Season",1,"Abbas"
"35","Abbas MA-35","Mix","All Season",1,"Abbas"
"36","Abbas MA-36","Mix","All Season",1,"Abbas"
"37","Abbas MA-37","Mix","All Season",1,"Abbas"
"38","Abbas MA-38","Mix","All Season",1,"Abbas"
"39","Abbas MA-39","Mix","All Season",1,"Abbas"
"40","Abbas MA-40","Mix","All Season",1,"Abbas"
"41","Abbas MA-41","Mix","All Season",1,"Abbas"
"42","Abbas MA-42","Mix","All Season",1,"Abbas"
"43","Abbas MA-43","Mix","All Season",1,"Abbas"
"44","Abbas MA-44","Mix","All Season",1,"Abbas"
"45","Abbas MA-45","Mix","All Season",1,"Abbas"
"46","Abbas RP-01","Rural","Productivity",1,"Abbas"
"47","Abbas RP-02","Rural","Productivity",1,"Abbas"
"48","Abbas RP-03","Rural","Productivity",1,"Abbas"
"49","Abbas RP-04","Rural","Productivity",1,"Abbas"
"50","Abbas RP-05","Rural","Productivity",1,"Abbas"
"51","Abbas RP-06","Rural","Productivity",1,"Abbas"
"52","Abbas RP-07","Rural","Productivity",1,"Abbas"
"53","Abbas RP-08","Rural","Productivity",1,"Abbas"
"54","Abbas RP-09","Rural","Productivity",1,"Abbas"
